-49.70,-8.06,0.17
-45.80,-8.54,0.18
-42.04,-9.36,0.19
-37.18,-10.56,0.09
-34.47,-13.15,0.19
-33.20,-18.81,0.12
-33.22,-23.55,0.08
-32.68,-29.01,0.16
-33.50,-33.29,0.17
-33.55,-37.87,0.18
-33.35,-42.24,0.18
-31.77,-44.72,0.08
-26.59,-45.62,0.13
-22.38,-44.70,0.05
-18.75,-43.12,0.19
-13.85,-43.10,0.19
-8.18,-41.59,0.18
-4.25,-41.18,0.18
0.74,-40.32,0.13
9.64,-38.29,0.19
13.52,-38.06,0.19
18.39,-37.59,0.18
21.74,-37.44,0.18
25.36,-36.86,0.15
30.53,-35.98,0.07
34.72,-35.37,0.09
39.49,-34.17,0.18
47.97,-33.24,0.19
