49.2765,-31.4992,0.0492
36.0814,-33.9901,0.1908
28.6350,-35.2864,0.1102
20.1474,-36.7288,0.1524
11.0782,-37.5250,0.1729
4.5867,-35.8103,0.0902
3.8008,-32.6991,0.1466
2.5655,-28.9177,0.1720
-0.0044,-22.1440,0.1680
-0.8058,-18.9048,0.1100
2.5302,-15.6393,0.1570
5.9357,-13.9471,0.1457
10.6193,-8.1623,0.1853
13.6943,-4.1947,0.1906
14.0622,1.2125,0.1660
14.7505,8.9445,0.1830
13.5934,16.0559,0.1630
11.2977,21.7111,0.1778
4.3400,25.6404,0.1810
-5.0558,25.8502,0.1642
-12.5013,22.7288,0.0062
-15.3285,16.3673,0.1885
-16.1713,8.9849,0.1555
-15.6265,4.8305,0.1706
-18.6149,2.4197,0.1195
-21.9176,2.5096,0.1311
-25.5210,4.3186,0.1795
-30.9560,13.2415,0.1482
-38.2341,17.1322,0.1654
-46.9380,24.6029,0.1937
